epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,2622.73,1.49034,1.71295,1.76696,0.34331,0.33438,0.29616,0.13428,2.10792,2.38633,2.34367,0.000466599,0.000466599,0.000466599
58,2667.91,1.48034,1.67978,1.7343,0.33432,0.31237,0.29229,0.13539,2.08895,2.35574,2.28589,0.000462181,0.000462181,0.000462181
59,2714.19,1.49469,1.70236,1.75244,0.4239,0.31391,0.30084,0.13538,2.12025,2.34371,2.36793,0.000457763,0.000457763,0.000457763
60,2759.4,1.48353,1.68039,1.75523,0.31576,0.30799,0.27712,0.12445,2.11764,2.38128,2.33906,0.000453345,0.000453345,0.000453345
61,2805.67,1.49652,1.70222,1.75488,0.35993,0.32089,0.30594,0.1337,2.07844,2.30196,2.29164,0.000448928,0.000448928,0.000448928
62,2850.59,1.49369,1.69179,1.75313,0.29279,0.28932,0.27762,0.13215,2.08505,2.44321,2.28382,0.00044451,0.00044451,0.00044451
63,2896.52,1.47457,1.66698,1.7287,0.35726,0.28831,0.2735,0.12694,2.10035,2.42567,2.30242,0.000440092,0.000440092,0.000440092
64,2941.36,1.4817,1.66831,1.75567,0.3136,0.31351,0.27549,0.12861,2.06294,2.38092,2.27572,0.000435674,0.000435674,0.000435674
65,2986.79,1.46885,1.65874,1.74407,0.42036,0.30898,0.29613,0.13703,2.11295,2.38389,2.32774,0.000431256,0.000431256,0.000431256
66,3031.32,1.48218,1.66014,1.74175,0.35291,0.33892,0.2958,0.14133,2.07602,2.30325,2.26915,0.000426838,0.000426838,0.000426838
67,3076.69,1.4514,1.65012,1.71724,0.34624,0.32183,0.29093,0.13585,2.13821,2.3591,2.35341,0.00042242,0.00042242,0.00042242
68,3121.14,1.4591,1.63395,1.72132,0.34457,0.33862,0.28287,0.13377,2.09354,2.3322,2.30453,0.000418002,0.000418002,0.000418002
69,3166.04,1.46296,1.61822,1.72179,0.41098,0.311,0.29159,0.13486,2.09494,2.37031,2.31357,0.000413584,0.000413584,0.000413584
70,3210.38,1.45197,1.61862,1.72239,0.36408,0.33834,0.29151,0.14291,2.09956,2.3573,2.32076,0.000409167,0.000409167,0.000409167
71,3255.4,1.45419,1.61356,1.72302,0.3026,0.3061,0.2813,0.13405,2.08162,2.34298,2.29921,0.000404749,0.000404749,0.000404749
72,3300.3,1.44127,1.6065,1.70899,0.37897,0.32634,0.29801,0.14988,2.06821,2.31403,2.28429,0.000400331,0.000400331,0.000400331
73,3344.79,1.44223,1.57613,1.709,0.3865,0.30678,0.28492,0.13336,2.06714,2.38275,2.28716,0.000395913,0.000395913,0.000395913
74,3390.67,1.44459,1.59462,1.70917,0.37526,0.31528,0.28546,0.13373,2.11584,2.4043,2.34817,0.000391495,0.000391495,0.000391495
75,3435.36,1.43275,1.57167,1.70912,0.39678,0.29759,0.27714,0.12939,2.12189,2.35026,2.3369,0.000387077,0.000387077,0.000387077
76,3480.49,1.4362,1.56323,1.69439,0.28028,0.33249,0.27229,0.12651,2.14217,2.34098,2.34988,0.000382659,0.000382659,0.000382659
77,3524.91,1.44561,1.56478,1.71682,0.32343,0.32127,0.27043,0.13202,2.11827,2.31837,2.33231,0.000378242,0.000378242,0.000378242
78,3570.34,1.4213,1.51895,1.68483,0.28596,0.32659,0.28475,0.13817,2.07891,2.31042,2.27194,0.000373824,0.000373824,0.000373824
79,3614.98,1.41517,1.54566,1.68848,0.34433,0.3364,0.28699,0.13691,2.06849,2.34575,2.28412,0.000369406,0.000369406,0.000369406
80,3660.95,1.43826,1.57115,1.70606,0.35086,0.33335,0.28875,0.13949,2.09057,2.32125,2.27857,0.000364988,0.000364988,0.000364988
81,3705.62,1.43303,1.54069,1.69456,0.37481,0.31552,0.29999,0.14059,2.10147,2.33152,2.31038,0.00036057,0.00036057,0.00036057
82,3751.46,1.41588,1.52934,1.6852,0.40194,0.30945,0.29662,0.14339,2.08961,2.30246,2.29859,0.000356152,0.000356152,0.000356152
83,3796.05,1.4207,1.52052,1.68072,0.33639,0.30503,0.27884,0.13444,2.10389,2.3449,2.30494,0.000351734,0.000351734,0.000351734
84,3841.72,1.39977,1.48102,1.67109,0.37461,0.32027,0.29624,0.14181,2.121,2.35796,2.32083,0.000347316,0.000347316,0.000347316
85,3886.07,1.41259,1.50682,1.66329,0.33217,0.32067,0.28263,0.13548,2.12873,2.35204,2.31707,0.000342899,0.000342899,0.000342899
86,3931.4,1.41157,1.48498,1.67193,0.32287,0.3012,0.2836,0.13218,2.14225,2.36672,2.33545,0.000338481,0.000338481,0.000338481
87,3976.08,1.4023,1.46338,1.66122,0.35673,0.30952,0.28866,0.13696,2.14356,2.30033,2.30679,0.000334063,0.000334063,0.000334063
88,4021.84,1.41059,1.47108,1.66162,0.31289,0.33397,0.2881,0.13847,2.10734,2.31458,2.31451,0.000329645,0.000329645,0.000329645
89,4066.51,1.38012,1.47555,1.65927,0.31463,0.29558,0.27683,0.13422,2.10779,2.369,2.31079,0.000325227,0.000325227,0.000325227
90,4111.31,1.40116,1.48198,1.67523,0.38519,0.29693,0.29404,0.14175,2.10784,2.36605,2.31441,0.000320809,0.000320809,0.000320809
91,4155.78,1.39728,1.48658,1.66704,0.35932,0.29196,0.28652,0.13718,2.10248,2.35381,2.29924,0.000316391,0.000316391,0.000316391
92,4200.25,1.39127,1.45544,1.6562,0.29262,0.33574,0.28087,0.13081,2.1405,2.36956,2.35419,0.000311973,0.000311973,0.000311973
93,4245.76,1.37739,1.44206,1.64467,0.36899,0.3203,0.30299,0.14099,2.10741,2.34897,2.31019,0.000307555,0.000307555,0.000307555
94,4290.12,1.3715,1.43986,1.6415,0.33321,0.34904,0.29707,0.13847,2.14855,2.35546,2.32507,0.000303138,0.000303138,0.000303138
95,4335.89,1.37457,1.42878,1.64165,0.33677,0.3104,0.27628,0.13453,2.1093,2.4286,2.30833,0.00029872,0.00029872,0.00029872
96,4380.55,1.37428,1.44689,1.65192,0.31583,0.33792,0.28188,0.13336,2.14221,2.37912,2.34699,0.000294302,0.000294302,0.000294302
97,4427.01,1.37024,1.42699,1.64541,0.38053,0.31882,0.29191,0.13237,2.16329,2.4016,2.37145,0.000289884,0.000289884,0.000289884
98,4473.42,1.35968,1.42332,1.63222,0.37401,0.29277,0.28185,0.13244,2.13846,2.36552,2.34449,0.000285466,0.000285466,0.000285466
